# Data of high-end double precision NVIDIA GPUs over the last years
# Collected by Karl Rupp
# Details and discussion at 
# http://www.karlrupp.net/2013/06/cpu-gpu-and-mic-hardware-characteristics-over-time/
#
#Year  GFLOPs.SP  GFLOPs.DP   Pixel-Shader   Mem-BW     TDP   SMs  Freq(MHz)   Name          Bus
2008      933         78        240           102      188   30   1296        "Tesla C1060" "PCI-e 1.0"
2009      933         78        240           102      188   30   1296        "Tesla C1060" "PCI-e 1.0"
2010     1030        515        448           144      238   14   1150        "Tesla C2050" "PCI-e 1.0"
2011     1331        666        512           177      250   16   1300        "Tesla M2090" "PCI-e 1.0"
2012     3524       1173       2496           208      225   13   706         "Tesla K20"   "PCI-e 2.0"
2013     3935       1312       2688           250      250   14   732         "Tesla K20X"  "PCI-e 2.0"
2014     4291       1430       2880           288      235   15   745         "Tesla K40"   "PCI-e 3.0"
2015     4291       1430       2880           288      235   15   745         "Tesla K40"   "PCI-e 3.0"
2016     8522       4759       3584           732      250   56   1189        "Tesla P100"  "PCI-e 3.0"
2016     9519       5304       3584           720      300   56   1328        "Tesla P100"  "NVLink 1.0"
2017    12748       6374       5120           900      250   80   1245        "Tesla V100"  "PCI-e 3.0"
2017    13434       6717       5120           900      300   80   1312        "Tesla V100"  "NVLink 2.0"
